date,open,high,low,close,volume,<VOL>,<SPREAD>,candle_type,body_ratio
2017-12-08,1.17725,1.17765,1.17304,1.17718,63857,0,0,base,0.015184381778745
2017-12-11,1.17661,1.18116,1.17634,1.17689,55095,0,0,base,0.058091286307065414
2017-12-12,1.17703,1.17926,1.17175,1.17412,55262,0,0,base,0.387483355525966
2017-12-13,1.17412,1.18315,1.17293,1.18261,59495,0,0,explosive,0.8307240704500952
2017-12-14,1.18253,1.18622,1.17706,1.17764,73423,0,0,decisive,0.5338427947598287
2017-12-15,1.17769,1.18122,1.17497,1.17508,67368,0,0,base,0.4176000000000091
2017-12-18,1.17444,1.1834,1.17374,1.17817,62543,0,0,base,0.38612836438923503
2017-12-19,1.17812,1.18486,1.17764,1.18404,70444,0,0,explosive,0.8199445983379393
2017-12-20,1.18402,1.19016,1.18289,1.18712,65743,0,0,base,0.42640990371386983
2017-12-21,1.18709,1.18894,1.18493,1.18741,63435,0,0,base,0.07980049875314027
2017-12-22,1.18723,1.18755,1.18168,1.18576,62582,0,0,base,0.25042589437820645
2017-12-26,1.18707,1.18786,1.18464,1.1858,27684,0,0,base,0.3944099378882311
2017-12-27,1.18562,1.19102,1.18549,1.18893,56838,0,0,decisive,0.5985533453888111
2017-12-28,1.1896,1.1959,1.18956,1.19424,56313,0,0,decisive,0.7318611987381654
2017-12-29,1.19429,1.20254,1.19363,1.1998,56439,0,0,decisive,0.6184062850729428
2018-01-02,1.20117,1.20812,1.20115,1.20383,51312,0,0,base,0.3816355810616686
2018-01-03,1.20563,1.2066,1.20013,1.20139,59320,0,0,decisive,0.6553323029366364
2018-01-04,1.20142,1.20886,1.20043,1.20673,62252,0,0,decisive,0.6298932384341859
2018-01-05,1.20674,1.20826,1.20205,1.20292,59375,0,0,decisive,0.6151368760064478
2018-01-08,1.20289,1.20521,1.19558,1.19674,55831,0,0,decisive,0.6386292834891198
2018-01-09,1.1968,1.19754,1.19157,1.19365,63509,0,0,decisive,0.5276381909547688
2018-01-10,1.19361,1.20177,1.19231,1.19475,79622,0,0,base,0.12050739957715814
2018-01-11,1.19478,1.20587,1.19293,1.20313,78936,0,0,decisive,0.6452859350850163
2018-01-12,1.20337,1.22181,1.20308,1.21947,91669,0,0,explosive,0.8595835557928396
2018-01-15,1.21973,1.22965,1.21874,1.22651,75256,0,0,decisive,0.6214482126489481
2018-01-16,1.22657,1.22825,1.21951,1.22598,87034,0,0,base,0.0675057208237838
2018-01-17,1.22584,1.23229,1.2177,1.21843,97222,0,0,decisive,0.5078821110349614
2018-01-18,1.21845,1.22647,1.2165,1.2239,86977,0,0,decisive,0.5466399197592714
2018-01-19,1.2236,1.22953,1.22149,1.22202,84159,0,0,base,0.19651741293531164
2018-01-22,1.22652,1.2267,1.22139,1.22615,70697,0,0,base,0.06967984934086377
2018-01-23,1.22611,1.23059,1.22229,1.22977,76228,0,0,base,0.4409638554216877
2018-01-24,1.22983,1.24148,1.22921,1.2407,87928,0,0,explosive,0.885900570497142
2018-01-25,1.24079,1.2537,1.23639,1.2397,108004,0,0,base,0.0629693818601987
2018-01-26,1.23944,1.24932,1.23698,1.24243,95552,0,0,base,0.24230145867097422
2018-01-29,1.24233,1.2432,1.23369,1.23823,88406,0,0,base,0.4311251314405822
2018-01-30,1.23814,1.24538,1.23349,1.24018,92971,0,0,base,0.17157275021026486
2018-01-31,1.2403,1.24748,1.2387,1.24134,99646,0,0,base,0.11845102505696478
2018-02-01,1.2406,1.25227,1.23854,1.2505,89884,0,0,decisive,0.7210487982520033
2018-02-02,1.25093,1.2518,1.24096,1.24527,92967,0,0,decisive,0.5221402214022157
2018-02-05,1.2432,1.24748,1.23627,1.23664,95879,0,0,decisive,0.5851917930419407
2018-02-06,1.23717,1.24338,1.23143,1.23767,114967,0,0,base,0.04184100418409614
2018-02-07,1.23704,1.24051,1.22457,1.22646,92677,0,0,decisive,0.663739021329973
2018-02-08,1.22641,1.22948,1.2212,1.22465,104459,0,0,base,0.21256038647343203
2018-02-09,1.22459,1.22868,1.22055,1.22498,100753,0,0,base,0.04797047970478374
