<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.11.20	08:00:00	1.10742	1.10743	1.10559	1.10642	18829	0	0
2019.11.20	12:00:00	1.10643	1.10688	1.10528	1.10637	15680	0	0
2019.11.20	16:00:00	1.10637	1.10811	1.10580	1.10668	25466	0	0
2019.11.20	20:00:00	1.10667	1.10749	1.10629	1.10719	17257	0	0
2019.11.21	00:00:00	1.10728	1.10794	1.10723	1.10770	8826	0	0
2019.11.21	04:00:00	1.10770	1.10788	1.10740	1.10757	9071	0	0
2019.11.21	08:00:00	1.10758	1.10890	1.10707	1.10865	17642	0	0
2019.11.21	12:00:00	1.10864	1.10970	1.10754	1.10759	20529	0	0
2019.11.21	16:00:00	1.10759	1.10824	1.10605	1.10627	26624	0	0
2019.11.21	20:00:00	1.10627	1.10629	1.10521	1.10588	9562	0	0
2019.11.22	00:00:00	1.10575	1.10660	1.10571	1.10640	7529	0	0
2019.11.22	04:00:00	1.10640	1.10671	1.10617	1.10659	4023	0	0
2019.11.22	08:00:00	1.10659	1.10877	1.10470	1.10606	36000	0	0
2019.11.22	12:00:00	1.10606	1.10674	1.10512	1.10581	18291	0	0
2019.11.22	16:00:00	1.10581	1.10598	1.10220	1.10236	22566	0	0
2019.11.22	20:00:00	1.10236	1.10289	1.10144	1.10197	10253	0	0
2019.11.25	00:00:00	1.10157	1.10249	1.10154	1.10232	7383	0	0
2019.11.25	04:00:00	1.10233	1.10300	1.10185	1.10293	7061	0	0
2019.11.25	08:00:00	1.10293	1.10323	1.10102	1.10133	17849	0	0
2019.11.25	12:00:00	1.10133	1.10188	1.10054	1.10164	12314	0	0
2019.11.25	16:00:00	1.10164	1.10249	1.10034	1.10056	19556	0	0
2019.11.25	20:00:00	1.10056	1.10135	1.10046	1.10113	8126	0	0
2019.11.26	00:00:00	1.10128	1.10150	1.10073	1.10122	9332	0	0
2019.11.26	04:00:00	1.10122	1.10166	1.10088	1.10148	8716	0	0
