<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.21	1.11832	1.13487	1.11682	1.12176	832139	0	0
2020.06.28	1.12211	1.13028	1.11849	1.12449	758731	0	0
2020.07.05	1.12434	1.13707	1.12407	1.12967	686718	0	0
2020.07.12	1.13029	1.14521	1.13008	1.14259	694260	0	0
2020.07.19	1.14249	1.16582	1.14024	1.16547	876380	0	0
2020.07.26	1.16431	1.19088	1.16412	1.17715	1068450	0	0
2020.08.02	1.17741	1.19162	1.16958	1.17856	943641	0	0
2020.08.09	1.17875	1.18642	1.17110	1.18414	886376	0	0
2020.08.16	1.18394	1.19657	1.17542	1.17965	841461	0	0
2020.08.23	1.17929	1.19198	1.17624	1.19059	871434	0	0
2020.08.30	1.19044	1.20114	1.17808	1.18393	939081	0	0
2020.09.06	1.18449	1.19176	1.17527	1.18459	778278	0	0
2020.09.13	1.18365	1.19007	1.17375	1.18411	692634	0	0
2020.09.20	1.18451	1.18717	1.16122	1.16287	823197	0	0
2020.09.27	1.16208	1.17697	1.16152	1.17167	882516	0	0
2020.10.04	1.17137	1.18308	1.17054	1.18293	662826	0	0
2020.10.11	1.18193	1.18267	1.16885	1.17160	639595	0	0
2020.10.18	1.17178	1.18808	1.17032	1.18598	686728	0	0
2020.10.25	1.18526	1.18601	1.16401	1.16464	787818	0	0
2020.11.01	1.16471	1.18909	1.16026	1.18754	1170259	0	0
2020.11.08	1.18872	1.19199	1.17456	1.18328	286685	0	0
2020.11.15	1.18314	1.18937	1.18142	1.18590	218517	0	0
2020.11.22	1.18537	1.19630	1.18002	1.19593	217127	0	0
2020.11.29	1.19637	1.21774	1.19237	1.21199	245818	0	0
2020.12.06	1.21253	1.21663	1.20588	1.21126	243629	0	0
2020.12.13	1.21343	1.22728	1.21156	1.22540	207349	0	0
2020.12.20	1.22279	1.22571	1.21298	1.21831	187133	0	0
2020.12.27	1.22045	1.23099	1.21811	1.22251	167902	0	0
2021.01.03	1.22480	1.23494	1.21930	1.22217	312999	0	0
2021.01.10	1.22124	1.22228	1.20749	1.20770	239046	0	0
2021.01.17	1.20774	1.21894	1.20535	1.21704	196537	0	0
2021.01.24	1.21559	1.21834	1.20586	1.21353	262727	0	0
2021.01.31	1.21043	1.21364	1.19523	1.20493	214762	0	0
2021.02.07	1.20108	1.21493	1.20075	1.21189	176905	0	0
2021.02.14	1.21171	1.21693	1.20233	1.21174	189148	0	0
2021.02.21	1.21171	1.22431	1.20622	1.20724	289716	0	0
2021.02.28	1.20681	1.21131	1.18933	1.19118	294415	0	0
2021.03.07	1.19169	1.19899	1.18356	1.19519	256986	0	0
