<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.30	1.17930	1.18099	1.17828	1.17968	59462	0	0
2021.08.31	1.17954	1.18451	1.17950	1.18090	100822	0	0
2021.09.01	1.18082	1.18573	1.17937	1.18389	88316	0	0
2021.09.02	1.18399	1.18761	1.18344	1.18758	46349	0	0
2021.09.03	1.18749	1.19092	1.18658	1.18773	102932	0	0
2021.09.06	1.18757	1.18864	1.18558	1.18687	39611	0	0
2021.09.07	1.18682	1.18853	1.18374	1.18497	72489	0	0
2021.09.08	1.18442	1.18513	1.18088	1.18151	53515	0	0
2021.09.09	1.18185	1.18412	1.18051	1.18232	89068	0	0
2021.09.10	1.18246	1.18511	1.18094	1.18109	81239	0	0
2021.09.13	1.18140	1.18171	1.17702	1.18105	70392	0	0
2021.09.14	1.18092	1.18458	1.18001	1.18045	83264	0	0
2021.09.15	1.18014	1.18319	1.17991	1.18155	81276	0	0
2021.09.16	1.18152	1.18207	1.17505	1.17686	83366	0	0
2021.09.17	1.17646	1.17889	1.17246	1.17259	63651	0	0
2021.09.20	1.17293	1.17365	1.17001	1.17278	72643	0	0
2021.09.21	1.17250	1.17487	1.17149	1.17253	84124	0	0
2021.09.22	1.17236	1.17556	1.16846	1.16899	119232	0	0
2021.09.23	1.16880	1.17502	1.16836	1.17395	91647	0	0
2021.09.24	1.17385	1.17476	1.17007	1.17210	68439	0	0
2021.09.27	1.17166	1.17252	1.16847	1.16960	81113	0	0
2021.09.28	1.16958	1.17032	1.16681	1.16835	101563	0	0
2021.09.29	1.16829	1.16902	1.15893	1.15962	102891	0	0
2021.09.30	1.15948	1.16098	1.15626	1.15755	110602	0	0
2021.10.01	1.15778	1.16074	1.15630	1.15929	106649	0	0
2021.10.04	1.15945	1.16401	1.15877	1.16195	87449	0	0
2021.10.05	1.16173	1.16219	1.15807	1.15975	73867	0	0
2021.10.06	1.15973	1.16006	1.15294	1.15574	97580	0	0
2021.10.07	1.15560	1.15721	1.15476	1.15534	73453	0	0
2021.10.08	1.15508	1.15861	1.15414	1.15743	84004	0	0
2021.10.11	1.15690	1.15868	1.15493	1.15542	50664	0	0
2021.10.12	1.15528	1.15703	1.15245	1.15305	50912	0	0
2021.10.13	1.15263	1.15974	1.15261	1.15952	58625	0	0
2021.10.14	1.15921	1.16242	1.15840	1.15973	49060	0	0
2021.10.15	1.15947	1.16188	1.15882	1.15985	51988	0	0
2021.10.18	1.15981	1.16225	1.15717	1.16113	126548	0	0
2021.10.19	1.16112	1.16694	1.16084	1.16325	129347	0	0
2021.10.20	1.16316	1.16585	1.16167	1.16502	126722	0	0
2021.10.21	1.16498	1.16673	1.16197	1.16229	76587	0	0
2021.10.22	1.16217	1.16558	1.16212	1.16441	85868	0	0
2021.10.25	1.16394	1.16652	1.15906	1.16102	88622	0	0
2021.10.26	1.16085	1.16258	1.15849	1.15974	72794	0	0
2021.10.27	1.15943	1.16262	1.15848	1.16031	100750	0	0
2021.10.28	1.16024	1.16920	1.15820	1.16847	134593	0	0
2021.10.29	1.16789	1.16903	1.15351	1.15623	113431	0	0
2021.11.01	1.15617	1.16091	1.15460	1.16072	84065	0	0
2021.11.02	1.16019	1.16134	1.15751	1.15790	80507	0	0
2021.11.03	1.15760	1.16163	1.15622	1.16112	103492	0	0
2021.11.04	1.16090	1.16165	1.15281	1.15540	85014	0	0
2021.11.05	1.15514	1.15733	1.15133	1.15664	89973	0	0
2021.11.08	1.15613	1.15950	1.15504	1.15871	64890	0	0
2021.11.09	1.15834	1.16088	1.15697	1.15946	86689	0	0
2021.11.10	1.15912	1.15953	1.14762	1.14770	119311	0	0
2021.11.11	1.14765	1.14877	1.14431	1.14491	67375	0	0
2021.11.12	1.14450	1.14621	1.14329	1.14434	67772	0	0
2021.11.15	1.14440	1.14640	1.13563	1.13688	58863	0	0
2021.11.16	1.13683	1.13858	1.13091	1.13185	79202	0	0
2021.11.17	1.13206	1.13321	1.12635	1.13226	73200	0	0
2021.11.18	1.13203	1.13741	1.13138	1.13731	63047	0	0
2021.11.19	1.13716	1.13728	1.12500	1.12832	99147	0	0
2021.11.22	1.12820	1.12904	1.12306	1.12364	105515	0	0
2021.11.23	1.12361	1.12750	1.12260	1.12491	100810	0	0
2021.11.24	1.12464	1.12552	1.11859	1.11987	107568	0	0
2021.11.25	1.11969	1.12297	1.11963	1.12059	53324	0	0
2021.11.26	1.12059	1.13320	1.12049	1.13145	145587	0	0
2021.11.29	1.13064	1.13126	1.12582	1.12925	101130	0	0
2021.11.30	1.12858	1.13829	1.12347	1.13398	158262	0	0
2021.12.01	1.13343	1.13597	1.13025	1.13194	124685	0	0
2021.12.02	1.13189	1.13477	1.12952	1.13000	99402	0	0
2021.12.03	1.12997	1.13333	1.12663	1.13088	123432	0	0
2021.12.06	1.13038	1.13118	1.12664	1.12844	75125	0	0
2021.12.07	1.12820	1.12983	1.12275	1.12689	81048	0	0
2021.12.08	1.12664	1.13547	1.12615	1.13442	94781	0	0
2021.12.09	1.13419	1.13455	1.12783	1.12925	72106	0	0
2021.12.10	1.12899	1.13241	1.12650	1.13166	77632	0	0
